INVOICE_ID,REQUISITION_NUMBER
964376,8692
965225,8693
977206,8840
977207,8843
977223,8837
983173,8854
995180,8877
1001187,8886
1001186,8893
1001175,8892
1003181,8898
1001191,425
1009245,427
1009246,428
1003185,8910
1001185,8914
1010171,437
1012524,9020
1012548,1353
1012549,440
1012533,9027
966794,8704
966824,8714
966778,8717
977262,405
978173,8781
977213,8782
1007171,8786
977245,1321
977242,8791
977234,8794
977250,1325
977260,415
977261,421
966783,8736
966842,1314
966837,404
1549769,14877
1549774,730
1549767,14880
1551783,1595
1549782,1600
1552789,1603
1552769,1606
1552785,14886
1553781,14894
1555869,1822
1431876,14234
1431885,567
1431891,1744
1481901,14440
1484760,14453
1490832,1425
1492764,14491
1492762,14479
1490823,14488
1551772,14924
1549781,14927
1553785,1617
1446765,14320
1446773,14333
1448760,14339
1448768,1351
1457759,14343
1449761,14346
1449762,14349
1457761,14354
1460880,14359
1462758,14361
1490792,1771
1481780,1398
1485760,1412
1490827,1432
1493758,14524
1496290,14528
1493770,1445
1234407,1521
1234408,1521
1234337,1521
1234364,1521
1234372,1521
1234373,1521
1234381,1521
1234427,1521
1234428,1521
1234431,1521
1234434,1521
1234438,1521
1234440,1521
1234446,1521
1234449,1521
1234272,319
1234293,11232
1235506,11263
1236039,11255
1234299,712
1234306,11274
1237340,725
1236040,11287
1282269,11878
1285246,11896
1282317,11912
1285251,11899
1285255,11904
1285261,11918
1282318,11923
1147288,10171
1145258,10172
1147711,588
1147291,10180
1147298,10195
1147702,10210
1147707,10235
1153247,10214
1106259,9878
1111250,1431
1118281,562
1118258,9894
1118260,9896
1113567,9901
1114307,9926
1114310,156
1126242,9939
1114292,9946
1114286,9949
1114295,9942
1114294,9951
1118282,572
1118273,565
1118277,569
1118265,9962
1154251,10243
1154260,10247
1152497,10257
1152506,176
1152741,10277
1152762,598
1159242,10288
1162531,10298
1162533,10315
1163246,10319
1163264,10330
1163267,10332
1163254,10344
1161280,605
1182402,10351
1182403,10352
1165256,1458
1163268,10366
1163262,10363
1064291,1409
1064276,9648
1064265,9659
1064269,9667
1064272,9677
1064282,9682
1065243,9689
1065246,9698
1071242,9705
1076243,9713
1076245,9715
1088253,9738
1088259,537
1183242,10593
1179242,10601
1183244,10606
1183281,195
1192242,10656
1200242,10678
1204346,10682
1200287,202
1200285,204
1200282,207
1200280,209
1200278,211
1200275,214
1200244,10686
1200256,10691
1204348,10695
1173242,10375
1164473,10377
1206269,224
1202255,10700
1200248,10699
1200462,10710
1016175,9102
1016208,9107
1016201,9111
1023228,9164
1023225,9168
1026229,9181
1170585,10401
1168250,10409
1168242,10430
1171278,10447
1250300,1548
1234269,1519
1168259,10418
1170601,10425
1171272,10434
1170589,10466
1171284,10470
1170595,10479
1171287,10482
1171286,10501
1172246,10522
1172252,10509
1190242,192
1177307,10549
1177303,10554
1183264,622
1183266,624
1210254,10827
1211258,230
1210263,10856
1210256,10859
1210266,10866
1212242,10882
1214252,237
1214255,240
1224249,10890
1214245,10889
1213580,10912
1217246,10932
1217255,10920
1218242,10949
1287254,11961
1290283,11964
1290277,11968
1287280,783
1290276,11996
1292255,12012
1298290,12017
1294257,12027
1296257,12030
1298292,373
1300249,12036
1294249,12058
1294255,12056
1300256,12060
1300263,789
1094258,9804
1094259,9805
1095249,1427
1099245,9817
1100249,9816
1102468,9830
1102473,9834
1102484,546
1102485,547
1102489,551
1241274,11468
1248249,11495
1251244,11500
1251246,11503
1249264,343
1249245,11524
1249260,11534
1249322,344
1250294,11556
1250295,11558
1249295,11560
1249327,1542
1249872,11622
1249869,11634
1249885,11641
1249888,11644
1252244,11669
1253245,11674
1253246,11675
1253255,11684
1255331,11718
1258250,11690
1039602,9380
1039599,9382
1039606,9389
1041250,9403
1041248,9409
1051243,9442
1046247,9445
1048250,9470
1048251,9473
1121246,9984
1121242,9970
1140242,9985
1121244,9987
1127242,10002
1132266,573
1132248,10005
1134272,10022
1132269,159
